node_id,road,house_number,neighborhood,suburb
12147623890,Via Roma,,,Stampaxi/Stampace
12147623891,Via Roma,,,Stampaxi/Stampace
12147623892,Viale La Plaia,,,Stampaxi/Stampace
12147623893,Via Roma,,,Stampaxi/Stampace
12147623895,Viale La Plaia,,,Stampaxi/Stampace
12147623896,Viale La Plaia,,,Stampaxi/Stampace
12147623897,Viale La Plaia,,,Stampaxi/Stampace
12147636302,Via Roma,,,Stampaxi/Stampace
12147636305,Via Roma,,,Stampaxi/Stampace
12147636326,Via San Paolo,96,,Sant'Avendrace-Santa Gilla
12147636333,Via San Paolo,88,,Sant'Avendrace-Santa Gilla
12148193591,Via del Borgo Sant'Elia,1,,Nuovo Borgo Sant'Elia
12148193595,Via del Borgo Sant'Elia,,,Nuovo Borgo Sant'Elia
12148193596,Via del Borgo Sant'Elia,,,Nuovo Borgo Sant'Elia
12154200070,Via Roma,87,,Lapola/Marina
12207219304,Via Alberto Lamarmora,79,,Castedd'e susu/Castello
12207219305,Portico Vivaldi Pasqua,,,Castedd'e susu/Castello
12207219310,Piazza Palazzo,1,,Castedd'e susu/Castello
12207219311,Piazza Palazzo,3,,Castedd'e susu/Castello
12207219312,Piazza Palazzo,1,,Castedd'e susu/Castello
12207219313,Piazza Palazzo,2,,Castedd'e susu/Castello
12248947752,Via Fra Nicola Da Gesturi,,,Stampaxi/Stampace
12263494713,Via Santa Margherita,,,Stampaxi/Stampace
12263494722,Vico di Via Santa Margherita,1,,Stampaxi/Stampace
12263494726,Scalette Santa Margherita,1,,Stampaxi/Stampace
12263494731,Via Santa Margherita,43,,Stampaxi/Stampace
12263494735,Via Cammino Nuovo,,,Stampaxi/Stampace
12289848814,Via Mandrolisai,,,San Michele
12289848815,Via Mandrolisai,,,San Michele
12289866246,Via Monte Acuto,14,,Is Mirrionis
12289866247,Piazza Granatieri di Sardegna,12,,Is Mirrionis
12289866248,Piazza Granatieri di Sardegna,3c,,Is Mirrionis
12289866249,Piazza Granatieri di Sardegna,8,,Is Mirrionis
12289866251,Piazza Granatieri di Sardegna,7a,,Is Mirrionis
12289866254,Piazza Granatieri di Sardegna,5,,Is Mirrionis
12400772111,Via Monsignor Ernesto Maria Piovella,65,,Is Mirrionis
12400772121,Via Quintino Sella,,,Is Mirrionis
12400772125,Via Monsignor Ernesto Maria Piovella,26,,Is Mirrionis
12400772126,Via Monsignor Ernesto Maria Piovella,28a,,Is Mirrionis
12400772131,Via Quintino Sella,,,Is Mirrionis
12400772132,Via Argentiera,76,,Is Mirrionis
12400772133,Via Quintino Sella,75,,Is Mirrionis
12400772134,Via Quintino Sella,98,,Is Mirrionis
12400772136,Via Quintino Sella,98,,Is Mirrionis
12400772137,Via Serbariu,58,,Is Mirrionis
12400772139,Via Serbariu,58,,Is Mirrionis
12400772145,Via Monsignor Ernesto Maria Piovella,26,,Is Mirrionis
12400772146,Via Monsignor Ernesto Maria Piovella,26,,Is Mirrionis
12400772149,Via Quintino Sella,72,,Is Mirrionis
12400772150,Via Quintino Sella,72,,Is Mirrionis
12400772151,Via Quintino Sella,72,,Is Mirrionis
12400772152,Via Campo Pisano,51,,Is Mirrionis
12400772153,Via Campo Pisano,51,,Is Mirrionis
12424652945,Via Guglielmo Marconi,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
12424652946,Via Guglielmo Marconi,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
12424652961,,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
12424652963,Viale Guglielmo Marconi,238,,
12424652966,Pista ciclabile Terramaini,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
12430358985,Calata Fiera,,,Bonaria
12430358987,Viale Salvatore Ferrara,9,,Bonaria
12430715194,Via Nadia Gallico Spano,,,Sant'Avendrace-Santa Gilla
12430718920,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718962,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718969,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718972,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718987,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718992,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718993,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718994,Viale Pula,,,Sant'Avendrace-Santa Gilla
12430718997,Viale Pula,,,Sant'Avendrace-Santa Gilla
12485105626,Via Enrico Carboni Boi,4,,Monte Urpinu
12485105627,Via Giuseppe Palomba,82,,Monte Urpinu
12485105628,Via Giuseppe Palomba,41,,Monte Urpinu
12485105635,Via Giuseppe Palomba,41,,Monte Urpinu
12485105647,Vico Terzo di Via Giovanni Battista Tuveri,16,,Monte Urpinu
12485105653,Via Giovanni Battista Tuveri,76,,Monte Urpinu
12485105659,Via Giovanni Battista Tuveri,23,,Monte Urpinu
12485105660,Via Giovanni Battista Tuveri,76,,Monte Urpinu
12485105663,Via Giovanni Battista Tuveri,78,,Monte Urpinu
12485105666,Via Giovanni Battista Tuveri,84,,Monte Urpinu
12485105668,Via Giovanni Battista Tuveri,84,,Monte Urpinu
12485105673,Vico Terzo di Via Giovanni Battista Tuveri,8,,Monte Urpinu
12485105674,Via Giovanni Battista Tuveri,76,,Monte Urpinu
12485105675,Via Giovanni Battista Tuveri,84,,Monte Urpinu
12485105682,Vico Terzo di Via Giovanni Battista Tuveri,,,Monte Urpinu
12497805327,Via Giosu? Carducci,25,,San Benedetto
12497805328,Via Giosu? Carducci,25,,San Benedetto
12522995823,Asse Mediano di Scorrimento,13,Villa Doloretta,Municipalidadi de Pirri/Municipalit? di Pirri
12522995824,Asse Mediano di Scorrimento,13,Villa Doloretta,Municipalidadi de Pirri/Municipalit? di Pirri
12522995828,Asse Mediano di Scorrimento,15,Villa Doloretta,Municipalidadi de Pirri/Municipalit? di Pirri
12522995831,Asse Mediano di Scorrimento,15,Villa Doloretta,Municipalidadi de Pirri/Municipalit? di Pirri
12522995832,Asse Mediano di Scorrimento,15,Villa Doloretta,Municipalidadi de Pirri/Municipalit? di Pirri
12522995839,Asse Mediano di Scorrimento,13,Villa Doloretta,Municipalidadi de Pirri/Municipalit? di Pirri
12526261846,Asse Mediano di Scorrimento,,,Is Mirrionis
12526261862,Asse Mediano di Scorrimento,,,Is Mirrionis
12529525369,Via Antonio Spanedda,,,Genneruxi
