from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time,wait_time,impedance,is_missing
39.220208,9.055868,39.204415,9.135179,https://www.google.com/maps/dir/?api=1&origin=39.220208%2C9.055868&destination=39.204415%2C9.135179&travelmode=transit&departure_time=1760529600,,,,1
39.25085,9.100255,39.174302,9.03055,https://www.google.com/maps/dir/?api=1&origin=39.25085%2C9.100255&destination=39.174302%2C9.03055&travelmode=transit&departure_time=1760529600,,,,1
39.217143,9.055861,39.244219,9.138673,https://www.google.com/maps/dir/?api=1&origin=39.217143%2C9.055861&destination=39.244219%2C9.138673&travelmode=transit&departure_time=1760529600,,,,1
39.215808,9.159294,39.231373,9.111851,https://www.google.com/maps/dir/?api=1&origin=39.215808%2C9.159294&destination=39.231373%2C9.111851&travelmode=transit&departure_time=1760529600,,,,1
39.241791,9.112159,39.236224,9.036779,https://www.google.com/maps/dir/?api=1&origin=39.241791%2C9.112159&destination=39.236224%2C9.036779&travelmode=transit&departure_time=1760529600,,,,1
39.216531,9.158728,39.222122,9.116921,https://www.google.com/maps/dir/?api=1&origin=39.216531%2C9.158728&destination=39.222122%2C9.116921&travelmode=transit&departure_time=1760529600,,,,1
39.220645,9.078755,39.237256,9.144561,https://www.google.com/maps/dir/?api=1&origin=39.220645%2C9.078755&destination=39.237256%2C9.144561&travelmode=transit&departure_time=1760529600,,,,1
39.239615,9.100584,39.226378,9.063545,https://www.google.com/maps/dir/?api=1&origin=39.239615%2C9.100584&destination=39.226378%2C9.063545&travelmode=transit&departure_time=1760529600,,,,1
39.21368,9.13031,39.183439,9.159729,https://www.google.com/maps/dir/?api=1&origin=39.21368%2C9.13031&destination=39.183439%2C9.159729&travelmode=transit&departure_time=1760529600,,,,1
39.229154,9.124963,39.219739,9.155343,https://www.google.com/maps/dir/?api=1&origin=39.229154%2C9.124963&destination=39.219739%2C9.155343&travelmode=transit&departure_time=1760529600,,,,1
39.215431,9.158532,39.21398,9.112582,https://www.google.com/maps/dir/?api=1&origin=39.215431%2C9.158532&destination=39.21398%2C9.112582&travelmode=transit&departure_time=1760529600,,,,1
39.209836,9.153885,39.230366,9.074162,https://www.google.com/maps/dir/?api=1&origin=39.209836%2C9.153885&destination=39.230366%2C9.074162&travelmode=transit&departure_time=1760529600,,,,1
39.188899,9.162808,39.261391,9.122447,https://www.google.com/maps/dir/?api=1&origin=39.188899%2C9.162808&destination=39.261391%2C9.122447&travelmode=transit&departure_time=1760529600,,,,1
